order_date,product_id,demand_qty
2018-01-31 22:56:00,1360,314.6400146
2018-01-13 12:27:00,1360,311.3599854
2018-01-13 12:06:00,1360,309.7200012
2018-01-13 11:45:00,1360,304.8099976
2018-01-13 11:24:00,1360,298.25
2018-01-13 11:03:00,1360,294.980011
2018-01-13 10:42:00,1360,288.4200134
2018-01-13 10:21:00,1360,285.1400146
2018-01-13 10:00:00,1360,278.5899963
2018-01-13 09:39:00,1360,275.3099976
2018-01-13 09:18:00,1360,272.0299988
2018-01-13 08:57:00,1360,268.7600098
2018-01-13 08:36:00,1360,262.2000122
2018-01-13 08:15:00,1360,245.8099976
2018-01-13 07:54:00,1360,327.75
2018-01-13 07:33:00,1360,324.4700012
2018-01-13 07:12:00,1360,321.2000122
2018-01-13 06:51:00,1360,317.9200134
2018-01-13 06:30:00,1360,314.6400146
2018-01-13 06:09:00,1360,311.3599854
2018-01-13 05:48:00,1360,309.7200012
2018-01-13 05:27:00,1360,304.8099976
2018-01-13 05:06:00,1360,298.25
2018-01-13 04:45:00,1360,294.980011
2018-01-13 04:24:00,1360,288.4200134
2018-01-13 04:03:00,1360,285.1400146
2018-01-13 03:42:00,1360,278.5899963
2018-01-13 03:21:00,1360,275.3099976
2018-01-13 03:00:00,1360,272.0299988
2018-01-13 02:39:00,1360,268.7600098
2018-01-13 02:18:00,1360,262.2000122
2018-01-13 01:57:00,1360,245.8099976
2018-01-13 01:36:00,1360,327.75
2018-01-13 01:15:00,1360,324.4700012
2018-01-13 00:54:00,1360,321.2000122
2018-01-13 00:33:00,1360,317.9200134
2018-01-13 00:12:00,1360,314.6400146
,1360,311.3599854
,1360,309.7200012
,1360,304.8099976
,1360,298.25
,1360,294.980011
,1360,288.4200134
,1360,285.1400146
,1360,278.5899963
,1360,275.3099976
,1360,272.0299988
,1360,268.7600098
2016-02-24 13:57:00,365,115.1800003
2016-10-25 14:39:00,627,79.18000031
2016-03-30 04:37:00,502,96.0
2016-10-30 01:31:00,627,75.98000336
2016-11-28 01:18:00,502,91.0
2016-12-31 15:47:00,502,87.0
2015-10-25 06:24:00,502,82.0
,278,74.68000031
2016-08-24 21:45:00,249,90.15000153
2016-04-13 10:12:00,365,117.5800018
2016-05-22 14:10:00,365,95.98000336
,191,263.9700012
,627,113.9700012
,917,63.99000168
,828,79.66000366
,191,293.9700012
2017-07-22 07:16:00,191,269.9700012
,191,224.9799957
2015-09-22 07:41:00,365,176.3699951
,365,167.3699951
,365,163.7700043
2017-08-20 07:03:00,365,161.9700012
2017-07-22 07:16:00,502,139.5
,627,107.9700012
2017-09-18 01:14:00,502,112.5
,917,55.40999985
2015-03-28 00:55:00,191,299.9700012
,365,178.1699982
,365,170.9700012
2015-04-25 04:44:00,365,170.0700073
2015-04-25 01:14:00,365,167.3699951
2015-04-25 01:14:00,365,163.7700043
