Order Id,order date (DateOrders),Product Card Id,Order Item Quantity,Sales per customer,Order Item Discount,Order Profit Per Order
77202,1/31/2018 22:56,1360,1,314.6400146,13.10999966,91.25
75939,1/13/2018 12:27,1360,1,311.3599854,16.38999939,-249.0899963
75938,1/13/2018 12:06,1360,1,309.7200012,18.03000069,-247.7799988
75937,1/13/2018 11:45,1360,1,304.8099976,22.94000053,22.86000061
75936,1/13/2018 11:24,1360,1,298.25,29.5,134.2100067
75935,1/13/2018 11:03,1360,1,294.980011,32.77999878,18.57999992
75934,1/13/2018 10:42,1360,1,288.4200134,39.33000183,95.18000031
75933,1/13/2018 10:21,1360,1,285.1400146,42.61000061,68.43000031
75932,1/13/2018 10:00,1360,1,278.5899963,49.15999985,133.7200012
75931,1/13/2018 9:39,1360,1,275.3099976,52.43999863,132.1499939
75930,1/13/2018 9:18,1360,1,272.0299988,55.72000122,130.5800018
75929,1/13/2018 8:57,1360,1,268.7600098,59,45.68999863
75928,1/13/2018 8:36,1360,1,262.2000122,65.55000305,21.76000023
75927,1/13/2018 8:15,1360,1,245.8099976,81.94000244,24.57999992
75926,1/13/2018 7:54,1360,1,327.75,0,16.38999939
75925,1/13/2018 7:33,1360,1,324.4700012,3.279999971,-259.5799866
75924,1/13/2018 7:12,1360,1,321.2000122,6.559999943,-246.3600006
75923,1/13/2018 6:51,1360,1,317.9200134,9.829999924,23.84000015
75922,1/13/2018 6:30,1360,1,314.6400146,13.10999966,102.2600021
75921,1/13/2018 6:09,1360,1,311.3599854,16.38999939,87.18000031
75920,1/13/2018 5:48,1360,1,309.7200012,18.03000069,154.8600006
75919,1/13/2018 5:27,1360,1,304.8099976,22.94000053,82.30000305
75918,1/13/2018 5:06,1360,1,298.25,29.5,22.37000084
75917,1/13/2018 4:45,1360,1,294.980011,32.77999878,17.70000076
75916,1/13/2018 4:24,1360,1,288.4200134,39.33000183,90.27999878
75915,1/13/2018 4:03,1360,1,285.1400146,42.61000061,131.1699982
75914,1/13/2018 3:42,1360,1,278.5899963,49.15999985,90.54000092
75913,1/13/2018 3:21,1360,1,275.3099976,52.43999863,82.58999634
75912,1/13/2018 3:00,1360,1,272.0299988,55.72000122,-17.13999939
75911,1/13/2018 2:39,1360,1,268.7600098,59,23.64999962
75910,1/13/2018 2:18,1360,1,262.2000122,65.55000305,73.41999817
75909,1/13/2018 1:57,1360,1,245.8099976,81.94000244,113.0699997
75908,1/13/2018 1:36,1360,1,327.75,0,24.57999992
75907,1/13/2018 1:15,1360,1,324.4700012,3.279999971,-97.33999634
75906,1/13/2018 0:54,1360,1,321.2000122,6.559999943,-425.5799866
75905,1/13/2018 0:33,1360,1,317.9200134,9.829999924,152.6000061
75904,1/13/2018 0:12,1360,1,314.6400146,13.10999966,151.0299988
75903,01-12-2018,1360,1,311.3599854,16.38999939,62.27000046
75902,01-12-2018,1360,1,309.7200012,18.03000069,35
75901,01-12-2018,1360,1,304.8099976,22.94000053,57.29999924
75900,01-12-2018,1360,1,298.25,29.5,143.1600037
75899,01-12-2018,1360,1,294.980011,32.77999878,135.6900024
75898,01-12-2018,1360,1,288.4200134,39.33000183,132.6699982
75897,01-12-2018,1360,1,285.1400146,42.61000061,119.7600021
75896,01-12-2018,1360,1,278.5899963,49.15999985,31.47999954
75895,01-12-2018,1360,1,275.3099976,52.43999863,86.16999817
75894,01-12-2018,1360,1,272.0299988,55.72000122,130.5800018
75893,01-12-2018,1360,1,268.7600098,59,0
28744,2/24/2016 13:57,365,2,115.1800003,4.800000191,-30.75
45461,10/25/2016 14:39,627,2,79.18000031,0.800000012,-122.7300034
31115,3/30/2016 4:37,502,2,96,4,33.59999847
45766,10/30/2016 1:31,627,2,75.98000336,4,24.69000053
47752,11/28/2016 1:18,502,2,91,9,9.100000381
50054,12/31/2016 15:47,502,2,87,13,-21.75
20365,10/25/2015 6:24,502,2,82,18,6.150000095
36146,06-11-2016,278,2,74.68000031,15.30000019,22.40999985
41234,8/24/2016 21:45,249,2,90.15000153,19.79000092,25.23999977
32090,4/13/2016 10:12,365,2,117.5800018,2.400000095,30.5699997
34773,5/22/2016 14:10,365,2,95.98000336,24,46.0699997
44046,10-04-2016,191,3,263.9700012,36,-184.7799988
46414,11-08-2016,627,3,113.9700012,6,38.75
46599,11-11-2016,917,3,63.99000168,1.980000019,-3.650000095
48434,12-08-2016,828,3,79.66000366,16.30999947,38.22999954
12827,07-07-2015,191,3,293.9700012,6,129.3500061
63936,7/22/2017 7:16,191,3,269.9700012,30,132.2899933
65030,08-07-2017,191,3,224.9799957,74.98999786,76.04000092
18108,9/22/2015 7:41,365,3,176.3699951,3.599999905,81.12999725
62571,07-02-2017,365,3,167.3699951,12.60000038,43.52000046
17162,09-08-2015,365,3,163.7700043,16.20000076,68.77999878
65922,8/20/2017 7:03,365,3,161.9700012,18,40.49000168
63936,7/22/2017 7:16,502,3,139.5,10.5,20.93000031
64813,08-04-2017,627,3,107.9700012,12,12.19999981
67892,9/18/2017 1:14,502,3,112.5,37.5,12.71000004
12525,07-02-2015,917,3,55.40999985,10.56000042,7.760000229
5895,3/28/2015 0:55,191,3,299.9700012,0,101.3899994
56359,04-02-2017,365,3,178.1699982,1.799999952,-285.0700073
58613,05-05-2017,365,3,170.9700012,9,42.74000168
7824,4/25/2015 4:44,365,3,170.0700073,9.899999619,49.3199997
7814,4/25/2015 1:14,365,3,167.3699951,12.60000038,80.33999634
7814,4/25/2015 1:14,365,3,163.7700043,16.20000076,-26.69000053
60807,06-06-2017,365,3,152.9700012,27,-117.3300018
53413,2/18/2017 16:36,365,3,152.9700012,27,47.88000107
7888,4/26/2015 3:10,502,3,150,0,72
6783,04-10-2015,627,3,115.1699982,4.800000191,29.94000053
56973,04-11-2017,502,3,144,6,23.46999931
7824,4/25/2015 4:44,502,3,142.5,7.5,68.40000153
55155,3/16/2017 2:54,502,3,139.5,10.5,43.65999985
5991,3/29/2015 10:33,502,3,132,18,13.19999981
2263,02-03-2015,502,3,132,18,46.20000076
2263,02-03-2015,502,3,130.5,19.5,10.43999958
53403,2/18/2017 13:05,502,3,124.5,25.5,15.56000042
51298,1/18/2017 19:37,627,3,99.58000183,20.38999939,32.86000061
4919,3/13/2015 18:59,502,5,240,10,9.600000381
52640,02-07-2017,627,5,189.9499969,10,55.09000015
6358,04-03-2015,627,5,188.9499969,11,68.58999634
57106,4/13/2017 14:25,502,5,236.25,13.75,51.97999954
6245,04-02-2015,502,5,236.25,13.75,-23.62999916
52166,1/31/2017 11:43,642,5,136.5,13.5,66.88999939
56172,3/30/2017 23:12,627,5,181.9499969,18,11.46000004
55829,3/25/2017 23:02,502,5,225,25,22.5
52478,02-05-2017,502,5,225,25,67.5
57242,4/15/2017 14:04,627,5,173.9600067,25.98999977,78.27999878
3137,2/15/2015 18:40,502,5,217.5,32.5,104.4000015
60127,5/27/2017 16:48,502,5,217.5,32.5,47.84999847
3828,2/25/2015 20:46,627,5,169.9600067,29.98999977,44.18999863
60386,5/31/2017 11:33,502,5,212.5,37.5,8.5
973,1/15/2015 4:32,627,5,167.9600067,31.98999977,83.98000336
57999,4/26/2017 15:16,502,5,207.5,42.5,70.13999939
54585,03-07-2017,502,5,207.5,42.5,72.62999725
57598,4/20/2017 18:47,502,5,200,50,-140
