order date (DateOrders),Product Card Id,Sales per customer
1/31/2018 22:56,1360,314.6400146
1/13/2018 12:27,1360,311.3599854
1/13/2018 12:06,1360,309.7200012
1/13/2018 11:45,1360,304.8099976
1/13/2018 11:24,1360,298.25
1/13/2018 11:03,1360,294.980011
1/13/2018 10:42,1360,288.4200134
1/13/2018 10:21,1360,285.1400146
1/13/2018 10:00,1360,278.5899963
1/13/2018 9:39,1360,275.3099976
1/13/2018 9:18,1360,272.0299988
1/13/2018 8:57,1360,268.7600098
1/13/2018 8:36,1360,262.2000122
1/13/2018 8:15,1360,245.8099976
1/13/2018 7:54,1360,327.75
1/13/2018 7:33,1360,324.4700012
1/13/2018 7:12,1360,321.2000122
1/13/2018 6:51,1360,317.9200134
1/13/2018 6:30,1360,314.6400146
1/13/2018 6:09,1360,311.3599854
1/13/2018 5:48,1360,309.7200012
1/13/2018 5:27,1360,304.8099976
1/13/2018 5:06,1360,298.25
1/13/2018 4:45,1360,294.980011
1/13/2018 4:24,1360,288.4200134
1/13/2018 4:03,1360,285.1400146
1/13/2018 3:42,1360,278.5899963
1/13/2018 3:21,1360,275.3099976
1/13/2018 3:00,1360,272.0299988
1/13/2018 2:39,1360,268.7600098
1/13/2018 2:18,1360,262.2000122
1/13/2018 1:57,1360,245.8099976
1/13/2018 1:36,1360,327.75
1/13/2018 1:15,1360,324.4700012
1/13/2018 0:54,1360,321.2000122
1/13/2018 0:33,1360,317.9200134
1/13/2018 0:12,1360,314.6400146
01-12-2018,1360,311.3599854
01-12-2018,1360,309.7200012
01-12-2018,1360,304.8099976
01-12-2018,1360,298.25
01-12-2018,1360,294.980011
01-12-2018,1360,288.4200134
01-12-2018,1360,285.1400146
01-12-2018,1360,278.5899963
01-12-2018,1360,275.3099976
01-12-2018,1360,272.0299988
01-12-2018,1360,268.7600098
2/24/2016 13:57,365,115.1800003
10/25/2016 14:39,627,79.18000031
3/30/2016 4:37,502,96
10/30/2016 1:31,627,75.98000336
11/28/2016 1:18,502,91
12/31/2016 15:47,502,87
10/25/2015 6:24,502,82
06-11-2016,278,74.68000031
8/24/2016 21:45,249,90.15000153
4/13/2016 10:12,365,117.5800018
5/22/2016 14:10,365,95.98000336
10-04-2016,191,263.9700012
11-08-2016,627,113.9700012
11-11-2016,917,63.99000168
12-08-2016,828,79.66000366
07-07-2015,191,293.9700012
7/22/2017 7:16,191,269.9700012
08-07-2017,191,224.9799957
9/22/2015 7:41,365,176.3699951
07-02-2017,365,167.3699951
09-08-2015,365,163.7700043
8/20/2017 7:03,365,161.9700012
7/22/2017 7:16,502,139.5
08-04-2017,627,107.9700012
9/18/2017 1:14,502,112.5
07-02-2015,917,55.40999985
3/28/2015 0:55,191,299.9700012
04-02-2017,365,178.1699982
05-05-2017,365,170.9700012
4/25/2015 4:44,365,170.0700073
4/25/2015 1:14,365,167.3699951
4/25/2015 1:14,365,163.7700043
06-06-2017,365,152.9700012
2/18/2017 16:36,365,152.9700012
4/26/2015 3:10,502,150
04-10-2015,627,115.1699982
04-11-2017,502,144
4/25/2015 4:44,502,142.5
3/16/2017 2:54,502,139.5
3/29/2015 10:33,502,132
02-03-2015,502,132
02-03-2015,502,130.5
2/18/2017 13:05,502,124.5
1/18/2017 19:37,627,99.58000183
3/13/2015 18:59,502,240
02-07-2017,627,189.9499969
04-03-2015,627,188.9499969
4/13/2017 14:25,502,236.25
04-02-2015,502,236.25
1/31/2017 11:43,642,136.5
3/30/2017 23:12,627,181.9499969
3/25/2017 23:02,502,225
02-05-2017,502,225
4/15/2017 14:04,627,173.9600067
2/15/2015 18:40,502,217.5
5/27/2017 16:48,502,217.5
2/25/2015 20:46,627,169.9600067
5/31/2017 11:33,502,212.5
1/15/2015 4:32,627,167.9600067
4/26/2017 15:16,502,207.5
03-07-2017,502,207.5
4/20/2017 18:47,502,200
03-03-2017,502,200
06-04-2017,627,149.9600067
5/16/2017 21:33,502,187.5
02-07-2017,502,187.5
5/27/2015 1:32,502,187.5
3/28/2017 5:20,818,237.5500031
02-05-2017,825,153.5500031
05-02-2017,306,395.9599915
04-03-2017,977,124.4599991
4/30/2015 23:49,44,284.9500122
4/27/2017 3:32,191,499.9500122
02-02-2015,191,494.9500122
2/13/2017 16:05,191,484.9500122
5/27/2017 23:28,191,479.9500122
3/19/2017 19:53,191,479.9500122
05-07-2015,191,474.9500122
4/27/2015 11:23,191,474.9500122
4/14/2017 18:06,191,449.9599915
05-07-2015,191,449.9599915
06-12-2017,251,337.4599915
3/26/2017 15:30,365,299.9500122
2/17/2017 11:52,365,296.9500122
1/25/2017 1:13,365,296.9500122
02-06-2017,365,293.9500122
5/22/2017 6:08,365,290.9500122
2/21/2017 1:00,365,287.9500122
01-06-2015,365,283.4500122
1/15/2017 4:44,191,86.98999786
10/28/2016 19:23,403,127.3899994
9/19/2016 13:39,403,118.2900009
8/25/2016 22:16,403,116.9899979
10/28/2016 19:23,365,49.18999863
10-07-2016,403,103.9899979
11-03-2016,957,296.980011
8/25/2016 22:16,957,293.980011
11-03-2017,1352,252.8800049
10/14/2017 11:42,1349,447.519989
11-04-2017,1352,250.3500061
10/16/2017 1:12,1349,443
11-03-2017,1352,245.2899933
10/13/2017 3:08,1349,433.9599915
11-02-2017,1352,240.2400055
10/29/2017 12:55,1351,1417.5
10/13/2017 8:44,1349,427.1799927
10-11-2017,1349,427.1799927
10/30/2017 1:10,1351,1395
10/13/2017 14:41,1349,420.3999939
11-03-2017,1352,230.1199951
10-10-2017,1349,411.3599854
11-04-2017,1352,230.1199951
10/26/2017 14:51,1351,1365
10/13/2017 13:59,1349,406.8399963
11-01-2017,1352,227.5899963
10/17/2017 11:32,1349,384.230011
11-01-2017,1352,214.9499969
10/13/2017 12:35,1349,379.7099915
11-01-2017,1352,209.8899994
11-01-2017,1352,209.8899994
11-02-2017,1352,209.8899994
10/13/2017 18:11,1349,370.6700134
10-11-2017,1349,370.6700134
11-03-2017,1352,207.3600006
10/26/2017 18:21,1351,1200
